s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 5.1014721E+001, 1.4350159E+002,-4.4966098E+001,-7.1679156E+001,-2.5154584E+001,-9.7136878E-003, 2.9499958E+001, 0.0000000E+000,-2.0361676E+001, 3.1191997E+001, 3.1078271E-003, 3.1078271E-003, 4.2061925E+004
 5.2007427E+001, 1.4453082E+002,-4.5148721E+001,-6.9269990E+001,-2.5034001E+001,-9.7098602E-003, 2.9872715E+001, 0.0000000E+000,-1.9945135E+001, 3.4941118E+001, 3.1078271E-003, 3.1078271E-003, 4.2887312E+004
 5.3020512E+001, 1.4371171E+002,-4.4592636E+001,-6.8310965E+001,-2.4801698E+001,-9.7212399E-003, 2.9867046E+001, 0.0000000E+000,-2.0829350E+001, 3.5863737E+001, 3.1078271E-003, 3.1078271E-003, 4.3729693E+004
 5.4019772E+001, 1.4422397E+002,-4.4000468E+001,-7.0411010E+001,-2.4253049E+001,-9.7252064E-003, 3.0601138E+001, 0.0000000E+000,-2.1314581E+001, 3.6150852E+001, 3.1078271E-003, 3.1078271E-003, 4.4580844E+004
 5.5020145E+001, 1.4347924E+002,-4.4417497E+001,-7.7218834E+001,-2.3401277E+001,-9.7290663E-003, 3.0445972E+001, 0.0000000E+000,-1.8487009E+001, 2.8877871E+001, 3.1078271E-003, 3.1078271E-003, 4.5428686E+004
 5.6008480E+001, 1.4350277E+002,-4.3949753E+001,-8.0436862E+001,-2.2101208E+001,-9.7315179E-003, 3.1168945E+001, 0.0000000E+000,-1.3880078E+001, 2.8174164E+001, 3.1078271E-003, 3.1078271E-003, 4.6286178E+004
 5.7013889E+001, 1.4460329E+002,-4.4228282E+001,-8.0731210E+001,-2.1710365E+001,-9.7250634E-003, 3.1587037E+001, 0.0000000E+000,-1.0998773E+001, 2.9510745E+001, 3.1078271E-003, 3.1078271E-003, 4.7170021E+004
 5.8000713E+001, 1.4422810E+002,-4.3862797E+001,-7.9180279E+001,-2.1708455E+001,-9.7368484E-003, 3.1600992E+001, 0.0000000E+000,-1.0603136E+001, 3.1067826E+001, 3.1078271E-003, 3.1078271E-003, 4.8038189E+004
 5.9012043E+001, 1.4434375E+002,-4.3844884E+001,-7.4358566E+001,-2.1775046E+001,-9.7357499E-003, 3.1636327E+001, 0.0000000E+000,-1.1652093E+001, 3.5991848E+001, 3.1078271E-003, 3.1078271E-003, 4.8928904E+004
 6.0000000E+001, 1.4324676E+002,-4.3238104E+001,-7.4743587E+001,-2.1396684E+001,-9.7383876E-003, 3.1604002E+001, 0.0000000E+000,-1.3529588E+001, 3.5462652E+001, 3.1078271E-003, 3.1078271E-003, 4.9797593E+004
