s,m/s
Time,"DUCT_FLOW_RATE"
 1.5833263E+001, 2.9176295E-003
 1.5945610E+001, 2.9177137E-003
 1.6001784E+001, 2.9177669E-003
 1.6114131E+001, 2.9178562E-003
 1.6226479E+001, 2.9180858E-003
 1.6338826E+001, 2.9184598E-003
 1.6451174E+001, 2.9188927E-003
 1.6507348E+001, 2.9191741E-003
 1.6619695E+001, 2.9193306E-003
 1.6732043E+001, 2.9193357E-003
 1.6844390E+001, 2.9191516E-003
 1.6900564E+001, 2.9189870E-003
 1.7012911E+001, 2.9189332E-003
 1.7125259E+001, 2.9191648E-003
 1.7237606E+001, 2.9198712E-003
 1.7349954E+001, 2.9210841E-003
 1.7406127E+001, 2.9222671E-003
 1.7518475E+001, 2.9236507E-003
 1.7630822E+001, 2.9256725E-003
 1.7743170E+001, 2.9278047E-003
 1.7855517E+001, 2.9299580E-003
 1.7911691E+001, 2.9315459E-003
 1.8024039E+001, 2.9330911E-003
 1.8136386E+001, 2.9350939E-003
 1.8248734E+001, 2.9370574E-003
 1.8304907E+001, 2.9385507E-003
 1.8417255E+001, 2.9401251E-003
 1.8529602E+001, 2.9424038E-003
 1.8641950E+001, 2.9450007E-003
 1.8754297E+001, 2.9480032E-003
 1.8810471E+001, 2.9505390E-003
 1.8922818E+001, 2.9533837E-003
 1.9035166E+001, 2.9575805E-003
 1.9147513E+001, 2.9622374E-003
 1.9203687E+001, 2.9659871E-003
 1.9316035E+001, 2.9699505E-003
 1.9428382E+001, 2.9754495E-003
 1.9540730E+001, 2.9811109E-003
 1.9653077E+001, 2.9868414E-003
 1.9709251E+001, 2.9911556E-003
 1.9821598E+001, 2.9954779E-003
 1.9933946E+001, 3.0012934E-003
 2.0046293E+001, 3.0072885E-003
 2.0102467E+001, 3.0119697E-003
 2.0214814E+001, 3.0169243E-003
 2.0327162E+001, 3.0239592E-003
 2.0439509E+001, 3.0315241E-003
 2.0551857E+001, 3.0395780E-003
 2.0608031E+001, 3.0458699E-003
 2.0720378E+001, 3.0523598E-003
 2.0832726E+001, 3.0612486E-003
 2.0945073E+001, 3.0704502E-003
 2.1001247E+001, 3.0775788E-003
 2.1113594E+001, 3.0849606E-003
 2.1225942E+001, 3.0951228E-003
 2.1338289E+001, 3.1055843E-003
 2.1450637E+001, 3.1161912E-003
 2.1506811E+001, 3.1241845E-003
 2.1619158E+001, 3.1322331E-003
 2.1731505E+001, 3.1431448E-003
 2.1843853E+001, 3.1545291E-003
 2.1900027E+001, 3.1635072E-003
 2.2012374E+001, 3.1730015E-003
 2.2124722E+001, 3.1863232E-003
 2.2237069E+001, 3.2002441E-003
 2.2349417E+001, 3.2144802E-003
 2.2405590E+001, 3.2252404E-003
 2.2517938E+001, 3.2360486E-003
 2.2630285E+001, 3.2505741E-003
 2.2742633E+001, 3.2653560E-003
 2.2854980E+001, 3.2804637E-003
 2.2911154E+001, 3.2919764E-003
 2.3023502E+001, 3.3036002E-003
 2.3135849E+001, 3.3191862E-003
 2.3248196E+001, 3.3348998E-003
 2.3304370E+001, 3.3468426E-003
 2.3416718E+001, 3.3590897E-003
 2.3529065E+001, 3.3759483E-003
 2.3641413E+001, 3.3934759E-003
 2.3753760E+001, 3.4115445E-003
 2.3809934E+001, 3.4252908E-003
 2.3922281E+001, 3.4391321E-003
